CUSIP,SEDOL_GIM,DESC1_GIM,S_CALCODE_GIM,ID_CUSIP_BB,ID_SEDOL1_BB,SECURITY_DES_BB,DAY_CNT_BB,CUSIP_GIM,ID_CUSIP_BB,DISCP_COMMENTS,DESC1_GIM,SECURITY_DES_BB,DISCP_COMMENTS,SEDOL_GIM,ID_SEDOL1_BB,DISCP_COMMENTS,ISIN_GIM,ID_ISIN_BB,DISCP_COMMENTS,EUROCLEAR_GIM,ID_EUROCLEAR_BB,DISCP_COMMENTS,TICKER_GIM,TICKER_BB,DISCP_COMMENTS,COUNTRY_GIM,COUNTRY_ISO_BB,DISCP_COMMENTS,STATE_GIM,STATE_CODE_BB,DISCP_COMMENTS,PAY_CUR_GIM,CPN_CRNCY_BB,DISCP_COMMENTS,FST_DATE_GIM,FIRST_CPN_DT_BB,DISCP_COMMENTS,LST_DATE_GIM,PENULTIMATE_CPN_DT_BB,DISCP_COMMENTS,MAT_DATE_GIM,MATURITY_BB,DISCP_COMMENTS,ISSDATE_GIM,ISSUE_DT_BB,DISCP_COMMENTS,CNV_SNK_GIM,CONVERTIBLE_BB,DISCP_COMMENTS,FREQ_GIM,CPN_FREQ_BB,DISCP_COMMENTS,PAY_CURR_GIM,CRNCY_BB,DISCP_COMMENTS,BETA_GIM,EQY_BETA_BB,DISCP_COMMENTS,EXCHANGE_GIM,EQY_PRIM_EXCH_SHRT_BB,DISCP_COMMENTS,SHR_OUT_GIM,EQY_SH_OUT_REAL_BB,DISCP_COMMENTS,S_CALCODE_GIM,DAY_CNT_BB,DISCP_COMMENTS,EARN_12_GIM,IS_EPS_BB,DISCP_COMMENTS,ORG_PRICE_GIM,ISSUE_PX_BB,DISCP_COMMENTS,SECTOR_GIM,GICS_SECTOR_BB,DISCP_COMMENTS,INDUSTRY_GIM,GICS_INDUSTRY_BB,DISCP_COMMENTS,SUB INDUSTRY_GIM,GICS_SUB_INDUSTRY_BB,DISCP_COMMENTS,S_DELAY_GIM,MTG_PAY_DELAY_BB,DISCP_COMMENTS,POOL_NO_GIM,MTG_POOL_NUMBER_BB,DISCP_COMMENTS,SHR_OUT_1_GIM,AMT_OUTSTANDING_BB,DISCP_COMMENTS,AMT_FLG_GIM,MUNI_MIN_TAX_BB,DISCP_COMMENTS,CALPRC_GIM,OPT_STRIKE_PX_BB,DISCP_COMMENTS,TAX_STATUS_GIM,MUNI_FED_TAX_BB,DISCP_COMMENTS,MARGIN_GIM,IS_STK_MARGINABLE_BB,DISCP_COMMENTS,FLAG_13F_GIM,SEC_RESTRICT_BB,DISCP_COMMENTS,U_SYMBOL_GIM,UNDERLYING_CUSIP_BB,DISCP_COMMENTS,INC_RATE_FI_GIM,CPN_BB,DISCP_COMMENTS,INC_RATE_EQ_GIM,EQY_IND_DPS_ANNUAL_NET_BB,DISCP_COMMENTS,OPT_EXPIRE_DT_GIM,OPT_EXPIRE_DT_BB,DISCP_COMMENTS,WRT_EXPIRE_DT_GIM,WRT_EXPIRE_DT_BB,DISCP_COMMENTS
041042RC8,,AR STATE GO,901,041042RC8, ,041042RC8,29,041042RC8,041042RC8,MATCHING,AR STATE GO,041042RC8,MISMATCH,,,MATCHING,US041042RC84,US041042RC84,MATCHING,,,MATCHING,,ARS,MISMATCH,US,US,MATCHING,,AR,MISMATCH,USD,,MISMATCH,2/1/2011,2/1/2011,MATCHING,12/31/1899,2/1/2013,MISMATCH,8/1/2013,8/1/2013,MATCHING,6/1/2010,6/1/2010,MATCHING,0,,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,29,MISMATCH,0,,MISMATCH,108.735,108.735,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,,,MATCHING,0,38960000,MISMATCH,N,N,MATCHING,0,,MISMATCH,T,N,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,4,4,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
32051GZ73,,FHABS_06-HE1,601,32051GZ73,B128ZN6,FHABS 2006-HE1 A,102,32051GZ73,32051GZ73,MATCHING,FHABS_06-HE1,FHABS 2006-HE1 A,MISMATCH,,B128ZN6,MISMATCH,US32051GZ736,US32051GZ736,MATCHING,,,MATCHING,,FHABS,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,4/25/2006,4/25/2006,MATCHING,12/31/1899,,MISMATCH,10/25/2034,10/25/2034,MATCHING,3/30/2006,3/30/2006,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,102,MISMATCH,0,,MISMATCH,100,100,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,0,MATCHING,,,MATCHING,0,120151292.4,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,0.41722,0.41722,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
419791WG9,,HI STATE GO,901,419791WG9, ,419791WG9,29,419791WG9,419791WG9,MATCHING,HI STATE GO,419791WG9,MISMATCH,,,MATCHING,US419791WG92,US419791WG92,MATCHING,,,MATCHING,,HIS,MISMATCH,US,US,MATCHING,,HI,MISMATCH,USD,,MISMATCH,5/1/2010,5/1/2010,MATCHING,12/31/1899,5/1/2013,MISMATCH,11/1/2013,11/1/2013,MATCHING,11/24/2009,11/24/2009,MATCHING,0,,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,29,MISMATCH,0,,MISMATCH,111.782,111.782,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,,,MATCHING,0,15175000,MISMATCH,N,N,MATCHING,0,,MISMATCH,T,N,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,5,5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
251510HU0,,DBALT_05-5,601,251510HU0, ,DBALT 2005-5 2A1,104,251510HU0,251510HU0,MATCHING,DBALT_05-5,DBALT 2005-5 2A1,MISMATCH,,,MATCHING,US251510HU09,US251510HU09,MATCHING,,,MATCHING,,DBALT,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,11/25/2005,11/25/2005,MATCHING,12/31/1899,,MISMATCH,11/25/2035,11/25/2035,MATCHING,10/25/2005,10/25/2005,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,104,MISMATCH,0,,MISMATCH,100,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,0,MATCHING,,,MATCHING,0,38084076.19,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,0.45722,0.45722,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
125509BS7,B5VD4V1,CIGNA CORPORATION,901,125509BS7,B5VD4V1,CI 4 02/15/22,5,125509BS7,125509BS7,MATCHING,CIGNA CORPORATION,CI 4 02/15/22,MISMATCH,B5VD4V1,B5VD4V1,MATCHING,US125509BS73,US125509BS73,MATCHING,,,MATCHING,,CI,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,2/15/2012,2/15/2012,MATCHING,12/31/1899,8/15/2021,MISMATCH,2/15/2022,2/15/2022,MATCHING,11/10/2011,11/10/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,4.93,MISMATCH,99.042,99.042,MATCHING,0,35,MISMATCH,0,351020,MISMATCH,0,35102030,MISMATCH,0,,MISMATCH,,,MATCHING,0,750000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,4,4,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
31396HAN9,,FHLMC_R005,601,31396HAN9, ,FHRR R005 AB,104,31396HAN9,31396HAN9,MATCHING,FHLMC_R005,FHRR R005 AB,MISMATCH,,,MATCHING,US31396HAN98,US31396HAN98,MATCHING,,,MATCHING,,FHRR,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,3/1/2006,3/15/2006,MISMATCH,12/1/2018,,MISMATCH,12/15/2018,12/15/2018,MATCHING,2/1/2006,2/1/2006,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,104,MISMATCH,0,,MISMATCH,100,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,14,14,MATCHING,,,MATCHING,0,251483388.8,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,5.5,5.5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
36112J107,B66QPT7,FUSION-IO INC,1,36112J107,B66QPT7,FIO, ,36112J107,36112J107,MATCHING,FUSION-IO INC,FIO,MISMATCH,B66QPT7,B66QPT7,MATCHING,US36112J1079,US36112J1079,MATCHING,,,MATCHING,FIO,FIO,MATCHING,US,US,MATCHING,,UT,MISMATCH,USD,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,0,,MISMATCH,1,,MISMATCH,USD,USD,MATCHING,0,N.A.,MISMATCH,NYS,UN,MISMATCH,86276674,86276674,MATCHING,1,,MISMATCH,0,0.27,MISMATCH,19,,MISMATCH,45,45,MATCHING,452020,452020,MATCHING,45202020,45202020,MATCHING,0,,MISMATCH,,,MATCHING,86276674,,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,N.A.,MISMATCH,Y,0,MISMATCH,,,MATCHING,,,MATCHING,0,,MISMATCH,,,MATCHING,,,MATCHING
37733W105,2374112,GLAXOSMITHKLINE PLC-SPON ADR,1,37733W105,2374112,GSK, ,37733W105,37733W105,MATCHING,GLAXOSMITHKLINE PLC-SPON ADR,GSK,MISMATCH,2374112,2374112,MATCHING,US37733W1053,US37733W1053,MATCHING,,,MATCHING,GSK,GSK,MATCHING,GB,GB,MATCHING,,,MATCHING,USD,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,12/31/1899,,MISMATCH,0,,MISMATCH,1,,MISMATCH,USD,USD,MATCHING,0,0.722,MISMATCH,NYS,UN,MISMATCH,2523630730,2523630730,MATCHING,1,,MISMATCH,0,,MISMATCH,0,,MISMATCH,35,35,MATCHING,352020,352020,MATCHING,35202010,35202010,MATCHING,0,,MISMATCH,,,MATCHING,2523630730,,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,N.A.,MISMATCH,N,0,MISMATCH,,,MATCHING,,,MATCHING,0,2.172,MISMATCH,,,MATCHING,,,MATCHING
3135G0FY4,,FANNIE MAE,501,3135G0FY4,B55MC76,FNMA 0 3/4 12/19/14,5,3135G0FY4,3135G0FY4,MATCHING,FANNIE MAE,FNMA 0 3/4 12/19/14,MISMATCH,,B55MC76,MISMATCH,US3135G0FY40,US3135G0FY40,MATCHING,,,MATCHING,,FNMA,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,12/19/2011,12/19/2011,MATCHING,12/31/1899,6/19/2014,MISMATCH,12/19/2014,12/19/2014,MATCHING,11/17/2011,11/17/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,501,5,MISMATCH,0,-3.81,MISMATCH,99.997,99.997,MATCHING,0,40,MISMATCH,0,401020,MISMATCH,0,40102010,MISMATCH,0,,MISMATCH,,,MATCHING,0,5000000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,0.75,0.75,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
786514BT5,,SAFEWAY INC,901,786514BT5,B73P0T9,SWY 3.4 12/01/16,5,786514BT5,786514BT5,MATCHING,SAFEWAY INC,SWY 3.4 12/01/16,MISMATCH,,B73P0T9,MISMATCH,US786514BT58,US786514BT58,MATCHING,,,MATCHING,,SWY,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,6/1/2012,6/1/2012,MATCHING,12/31/1899,6/1/2016,MISMATCH,12/1/2016,12/1/2016,MATCHING,12/5/2011,12/5/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,1.56,MISMATCH,99.946,99.946,MATCHING,0,30,MISMATCH,0,301010,MISMATCH,0,30101030,MISMATCH,0,,MISMATCH,,,MATCHING,0,400000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,3.4,3.4,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
